TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
6.30450749e-11,4.69622697e-01,1.97928178e+00,1.80000000e+00,1.92639447e+00,1.98193839e+00,1.35647887e-02,4.69622697e-01,2.84189862e-01,-1.23792874e-04,-1.29815105e-04,2.94758885e-07,1.77230142e-04
6.70479322e-11,6.13725560e-01,2.02011827e+00,1.80000000e+00,1.94834207e+00,2.03349380e+00,1.47512106e-02,6.13725560e-01,4.06272561e-01,-1.26244082e-04,-1.29736702e-04,8.90816063e-07,1.71595505e-04
7.10507895e-11,7.57828423e-01,2.06112213e+00,1.80000000e+00,1.97509132e+00,2.07367447e+00,1.65043597e-02,7.57828423e-01,5.31207713e-01,-1.35107844e-04,-1.32687661e-04,8.61081642e-07,1.58703280e-04
7.15873222e-11,7.77143599e-01,2.06660980e+00,1.80000000e+00,1.97911038e+00,2.07665213e+00,1.67177624e-02,7.77143599e-01,5.43699738e-01,-1.36493344e-04,-1.32724375e-04,7.95488393e-07,1.54768867e-04
7.26603875e-11,8.15773950e-01,2.07740390e+00,1.80000000e+00,1.98716657e+00,2.08046805e+00,1.72572887e-02,8.15773950e-01,5.62491987e-01,-1.41968364e-04,-1.34773415e-04,1.21567079e-06,1.46740607e-04
7.48065182e-11,8.93034654e-01,2.10250980e+00,1.80000000e+00,2.00447896e+00,2.07534066e+00,1.93344193e-02,8.93034654e-01,5.45162891e-01,-1.52009679e-04,-1.36490034e-04,2.65572546e-06,1.17806842e-04
7.67013373e-11,9.61248144e-01,2.12559933e+00,1.80000000e+00,2.02124862e+00,2.05170056e+00,2.20545536e-02,9.61248144e-01,4.53531123e-01,-1.65685359e-04,-1.45521059e-04,3.08653090e-06,1.00711296e-04
7.84066746e-11,1.02264028e+00,2.14491773e+00,1.80000000e+00,2.03765945e+00,2.00979976e+00,2.46097024e-02,1.02264028e+00,3.12781600e-01,-1.71777934e-04,-1.50489100e-04,2.90676766e-06,7.82192896e-05
8.01120118e-11,1.08403243e+00,2.16018962e+00,1.80000000e+00,2.05481306e+00,1.93909666e+00,2.57173849e-02,1.08403243e+00,1.81987610e-01,-1.70897694e-04,-1.61760323e-04,-3.08612969e-07,7.02420717e-05
8.16468153e-11,1.13928535e+00,2.17074115e+00,1.80000000e+00,2.06967144e+00,1.84334673e+00,2.29532083e-02,1.13928535e+00,1.16961778e-01,-1.64914967e-04,-1.63132188e-04,-6.89537531e-06,5.74668960e-05
8.30281385e-11,1.18901299e+00,2.18130373e+00,1.80000000e+00,2.08113010e+00,1.73737806e+00,1.65473810e-02,1.18901299e+00,8.12881894e-02,-1.64885884e-04,-1.61895653e-04,-1.16544542e-05,4.61126723e-05
8.44094617e-11,1.23874062e+00,2.19385942e+00,1.80000000e+00,2.08828226e+00,1.61726491e+00,7.47357229e-03,1.23874062e+00,5.81446636e-02,-1.63744196e-04,-1.62794812e-04,-1.46212470e-05,4.01723912e-05
8.57907848e-11,1.28846825e+00,2.20819140e+00,1.80000000e+00,2.08829290e+00,1.48478019e+00,-3.55809961e-03,1.28846825e+00,4.22676167e-02,-1.68294742e-04,-1.65282877e-04,-1.73239840e-05,3.80478673e-05
