TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
3.50764435e-10,1.05166601e+00,1.80000000e+00,1.80000000e+00,-6.36351456e-02,-1.14800143e-05,-1.22728389e-04,-1.49944049e-05,-4.41040466e-05
3.51505912e-10,1.00641135e+00,1.80000000e+00,1.80000000e+00,-6.92223800e-02,-1.14296131e-05,-1.21403821e-04,-1.51466677e-05,-4.45767743e-05
3.52988868e-10,9.17493173e-01,1.80000000e+00,1.80000000e+00,-8.05759446e-02,-1.11292758e-05,-1.18436603e-04,-1.54774830e-05,-4.70528212e-05
3.55954779e-10,7.44963298e-01,1.80000000e+00,1.80000000e+00,-1.01774681e-01,-1.10277287e-05,-1.14247185e-04,-1.31123616e-05,-5.56470909e-05
3.58920691e-10,5.79607582e-01,1.80000000e+00,1.80000000e+00,-1.13600207e-01,-1.17455036e-05,-1.08761117e-04,-2.83622791e-06,-6.92491629e-05
3.61886602e-10,4.27212831e-01,1.80000000e+00,1.80000000e+00,-1.03290151e-01,-1.45874002e-05,-9.67672764e-05,1.67409666e-05,-8.32109313e-05
3.64852514e-10,2.97586685e-01,1.80000000e+00,1.80000000e+00,-6.13352731e-02,-1.43188458e-05,-7.80540576e-05,3.98418136e-05,-9.45424817e-05
3.67521834e-10,2.07003768e-01,1.80000000e+00,1.80000000e+00,3.10884178e-03,-1.14818079e-05,-5.76852446e-05,5.67282623e-05,-1.00094536e-04
3.70191154e-10,1.41259621e-01,1.80000000e+00,1.80000000e+00,8.71612151e-02,-8.56422739e-06,-4.08329410e-05,6.92249623e-05,-1.03279830e-04
3.72860474e-10,9.58006620e-02,1.80000000e+00,1.80000000e+00,1.85483193e-01,-5.82483299e-06,-2.72877108e-05,7.81113912e-05,-1.03757840e-04
3.75529795e-10,6.53953621e-02,1.80000000e+00,1.80000000e+00,2.92829718e-01,-4.01059422e-06,-1.82749000e-05,8.27483257e-05,-1.03449608e-04
3.78199115e-10,4.54893929e-02,1.80000000e+00,1.80000000e+00,4.05196706e-01,-2.51051181e-06,-1.15543708e-05,8.56345991e-05,-1.01658774e-04
