sub_dir,.param cbn,.param cbp,D0,D1,D2,D3
run_600_820,600m,820m,5.971339e-11,2.231359e-10,5.971339e-11,2.231359e-10
run_600_760,600m,760m,5.932795e-11,2.291047e-10,5.932795e-11,2.291047e-10
run_510_520,510m,520m,6.467951e-11,2.869872e-10,6.467951e-11,2.869875e-10
run_430_700,430m,700m,7.929017e-11,2.726636e-10,7.929017e-11,2.726637e-10
run_570_940,570m,940m,6.318413e-11,2.166139e-10,6.318413e-11,2.166139e-10
run_470_860,470m,860m,7.315782e-11,2.414243e-10,7.315782e-11,2.414243e-10
run_590_940,590m,940m,6.064067e-11,2.120238e-10,6.064067e-11,2.120237e-10
run_560_880,560m,880m,6.527428e-11,2.262358e-10,6.527428e-11,2.262358e-10
run_420_760,420m,760m,8.194591e-11,2.694147e-10,8.155220e-11,2.719061e-10
run_540_740,540m,740m,6.285594e-11,2.375393e-10,6.285595e-11,2.375393e-10
run_420_420,420m,420m,7.888311e-11,3.658716e-10,7.888311e-11,3.658716e-10
run_560_660,560m,660m,6.374953e-11,2.507019e-10,6.374953e-11,2.507019e-10
run_610_460,610m,460m,5.568205e-11,2.905458e-10,5.568205e-11,2.905462e-10
run_420_520,420m,520m,7.885524e-11,3.141239e-10,7.988453e-11,3.104115e-10
run_630_580,630m,580m,5.615688e-11,2.531108e-10,5.615688e-11,2.531109e-10
run_460_880,460m,880m,7.501164e-11,2.421466e-10,7.501164e-11,2.421466e-10
run_440_720,440m,720m,7.745375e-11,2.662239e-10,7.745375e-11,2.662239e-10
run_650_620,650m,620m,5.269109e-11,2.380855e-10,5.269109e-11,2.380855e-10
run_570_620,570m,620m,6.110506e-11,2.537744e-10,6.110506e-11,2.537745e-10
run_530_700,530m,700m,6.361156e-11,2.441606e-10,6.361156e-11,2.441606e-10
run_500_800,500m,800m,6.811180e-11,2.400434e-10,6.811180e-11,2.400434e-10
run_590_740,590m,740m,5.942229e-11,2.314942e-10,5.942229e-11,2.314942e-10
run_540_480,540m,480m,6.102910e-11,2.940523e-10,6.102911e-11,2.940527e-10
run_610_780,610m,780m,5.772971e-11,2.238406e-10,5.772972e-11,2.238405e-10
run_460_940,460m,940m,7.543934e-11,2.366386e-10,7.543934e-11,2.366386e-10
run_520_580,520m,580m,6.384412e-11,2.671974e-10,6.384412e-11,2.671976e-10
run_470_700,470m,700m,7.192335e-11,2.590509e-10,7.192335e-11,2.590510e-10
run_580_620,580m,620m,5.890779e-11,2.495595e-10,5.890780e-11,2.495595e-10
run_650_680,650m,680m,5.297970e-11,2.272848e-10,5.297970e-11,2.272848e-10
run_530_740,530m,740m,6.389592e-11,2.394309e-10,6.389592e-11,2.394310e-10
run_450_800,450m,800m,7.621296e-11,2.539867e-10,7.621296e-11,2.539867e-10
run_450_700,450m,700m,7.539559e-11,2.604705e-10,7.451511e-11,2.641122e-10
run_600_640,600m,640m,5.852756e-11,2.448721e-10,5.852756e-11,2.448721e-10
run_440_660,440m,660m,7.693108e-11,2.744088e-10,7.693108e-11,2.744089e-10
run_480_580,480m,580m,6.940706e-11,2.778432e-10,6.940706e-11,2.778435e-10
run_640_880,640m,880m,5.784278e-11,2.122691e-10,5.784278e-11,2.122690e-10
run_640_640,640m,640m,5.637011e-11,2.402933e-10,5.637011e-11,2.402933e-10
run_620_640,620m,640m,5.664384e-11,2.410855e-10,5.664384e-11,2.410855e-10
run_490_580,490m,580m,6.790717e-11,2.747124e-10,6.790717e-11,2.747126e-10
run_660_660,660m,660m,5.260879e-11,2.297959e-10,5.260879e-11,2.297959e-10
run_440_800,440m,800m,7.811781e-11,2.573687e-10,7.811781e-11,2.573688e-10
run_630_500,630m,500m,5.563836e-11,2.717366e-10,5.563837e-11,2.717368e-10
run_630_540,630m,540m,5.590711e-11,2.623623e-10,5.590711e-11,2.623625e-10
run_450_480,450m,480m,7.355720e-11,3.262387e-10,7.355720e-11,3.262389e-10
run_610_440,610m,440m,5.554075e-11,3.024373e-10,5.554076e-11,3.024377e-10
run_560_700,560m,700m,6.404721e-11,2.453426e-10,6.404721e-11,2.453427e-10
run_640_820,640m,820m,5.750591e-11,2.184941e-10,5.750591e-11,2.184940e-10
run_440_860,440m,860m,7.858879e-11,2.505933e-10,7.858879e-11,2.505934e-10
run_560_480,560m,480m,6.270715e-11,2.922324e-10,6.171224e-11,3.020835e-10
run_470_760,470m,760m,7.239857e-11,2.519854e-10,7.239857e-11,2.519855e-10
run_520_860,520m,860m,6.581778e-11,2.290883e-10,6.581778e-11,2.290882e-10
run_560_800,560m,800m,6.474999e-11,2.345118e-10,6.475000e-11,2.345118e-10
run_520_460,520m,460m,6.292985e-11,3.094650e-10,6.292985e-11,3.094654e-10
