TIME,V(XTOP:S1_B),V(XTOP:X4),V(XTOP:X1),V(XTOP:S0),V(XTOP:X7),V(XTOP:S2),V(XTOP:X3),V(XTOP:XDUT:UPPER_LEFT__A1),V(XTOP:X2),V(XTOP:XDUT:LOWER_RIGHT__A0),V(XTOP:X6),V(XTOP:X0),V(XTOP:S0_B),V(XTOP:Y),V(XTOP:DUT_VPWR),V(XTOP:XDUT:UPPER_LEFT__A0),V(XTOP:X5),V(XTOP:XDUT:LOWER_RIGHT__A1),V(XTOP:XDUT:UPPER_RIGHT__A1),V(XTOP:XDUT:A1),V(XTOP:XDUT:LOWER_LEFT__A0),V(XTOP:S2_B),V(XTOP:XDUT:LOWER_LEFT__A1),V(XTOP:XDUT:A2),V(XTOP:XDUT:UPPER_RIGHT__A0),V(XTOP:S1),V(XTOP:XDUT:A0),V(XTOP:XDUT:A3),I(XTOP:VS1_DRIVER),I(XTOP:VS1_B_DRIVER),I(XTOP:VS2_DRIVER),I(XTOP:VINIT_X0),I(XTOP:VS2_B_DRIVER),I(XTOP:VPOWER),I(XTOP:VS0_B_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VINIT_X4),I(XTOP:VINIT_X1),I(XTOP:VS0_DRIVER),I(XTOP:VINIT_X3),I(XTOP:VINIT_X6),I(XTOP:VINIT_X5),I(XTOP:VINIT_X7),I(XTOP:VINIT_X2)
3.27500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533017e-08,0.00000000e+00,3.13471108e-01,0.00000000e+00,0.00000000e+00,1.80000000e+00,7.17527898e-08,1.80000000e+00,5.35587590e-11,1.80000000e+00,3.24120200e-01,3.06190095e-01,5.35587349e-11,5.35588294e-11,1.80000000e+00,5.35587314e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,4.78530451e-08,3.37408605e-01,1.79654405e-18,-9.48888484e-19,-1.33595134e-19,2.69143484e-11,6.28311984e-19,-4.39358049e-11,1.37075356e-18,5.63113328e-19,1.94437880e-11,-1.00289206e-11,5.66043331e-19,-9.94191805e-12,1.50332815e-11,-9.81622687e-12,-9.94191796e-12,1.50332820e-11
3.77500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,3.13471108e-01,0.00000000e+00,0.00000000e+00,1.80000000e+00,7.17527897e-08,1.80000000e+00,5.35587274e-11,1.80000000e+00,3.24120200e-01,3.06190095e-01,5.35587516e-11,5.35587317e-11,1.80000000e+00,5.35588110e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,4.78530454e-08,3.37408605e-01,-2.19346386e-18,9.76341628e-19,6.82261427e-20,2.69143489e-11,-3.66781601e-19,-4.39358007e-11,-1.37567695e-18,-7.01681016e-19,1.94437887e-11,-1.00289207e-11,-7.16241213e-19,-9.94191784e-12,1.50332817e-11,-9.81622698e-12,-9.94191795e-12,1.50332811e-11
4.27500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533017e-08,0.00000000e+00,3.13471108e-01,0.00000000e+00,0.00000000e+00,1.80000000e+00,7.17527900e-08,1.80000000e+00,5.35587708e-11,1.80000000e+00,3.24120200e-01,3.06190095e-01,5.35588290e-11,5.35587728e-11,1.80000000e+00,5.35587477e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,4.78530454e-08,3.37408605e-01,1.90564828e-18,-8.43813384e-19,1.37560691e-20,2.69143484e-11,3.88407613e-19,-4.39358055e-11,1.50856009e-18,9.71825369e-19,1.94437879e-11,-1.00289205e-11,2.46466379e-19,-9.94191807e-12,1.50332817e-11,-9.81622687e-12,-9.94191796e-12,1.50332824e-11
4.77500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533018e-08,0.00000000e+00,3.13471108e-01,0.00000000e+00,0.00000000e+00,1.80000000e+00,7.17527898e-08,1.80000000e+00,5.35587501e-11,1.80000000e+00,3.24120200e-01,3.06190095e-01,5.35587092e-11,5.35587703e-11,1.80000000e+00,5.35586123e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,4.78530455e-08,3.37408605e-01,-1.88373830e-18,1.07912397e-18,6.36696099e-21,2.69143490e-11,-3.75409123e-19,-4.39357999e-11,-1.59267554e-18,-1.10673840e-18,1.94437888e-11,-1.00289207e-11,-5.47223315e-19,-9.94191784e-12,1.50332814e-11,-9.81622698e-12,-9.94191795e-12,1.50332806e-11
5.00000000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533018e-08,0.00000000e+00,3.13471108e-01,0.00000000e+00,0.00000000e+00,1.80000000e+00,7.17527898e-08,1.80000000e+00,5.35588354e-11,1.80000000e+00,3.24120200e-01,3.06190095e-01,5.35588385e-11,5.35588015e-11,1.80000000e+00,5.35587415e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,4.78530454e-08,3.37408605e-01,1.44402046e-18,-1.33921292e-18,-7.59408942e-20,2.69143483e-11,3.33176855e-19,-4.39358044e-11,1.63017443e-18,9.95971116e-19,1.94437877e-11,-1.00289205e-11,1.68017508e-19,-9.94191812e-12,1.50332818e-11,-9.81622683e-12,-9.94191792e-12,1.50332825e-11
5.03277223e-11,1.78820200e+00,0.00000000e+00,1.80000000e+00,1.17980023e-02,1.80000000e+00,1.17980023e-02,1.80000000e+00,-5.94754609e-03,0.00000000e+00,3.12060627e-01,0.00000000e+00,0.00000000e+00,1.78820200e+00,-1.42125388e-03,1.80000000e+00,-1.88984074e-03,1.80000000e+00,3.25995554e-01,3.08057413e-01,-2.62571781e-03,-1.87621182e-03,1.78820200e+00,-5.92118722e-03,2.94029950e-01,3.12061416e-01,1.17980023e-02,-5.96260638e-03,3.36161784e-01,-5.89946492e-05,6.53221383e-05,-2.88716547e-05,-1.66267081e-05,3.59073918e-05,-2.76799585e-05,1.62133349e-04,-8.67396385e-06,-1.65894641e-05,2.35598332e-06,-1.15940014e-04,2.33175352e-06,-1.38392775e-05,2.35761314e-06,2.33168843e-06,-1.38484601e-05
5.06226723e-11,1.77758380e+00,0.00000000e+00,1.80000000e+00,2.24162043e-02,1.80000000e+00,2.24162043e-02,1.80000000e+00,-1.05950074e-02,0.00000000e+00,3.10801663e-01,0.00000000e+00,0.00000000e+00,1.77758380e+00,-2.88507394e-03,1.80000000e+00,-3.29053083e-03,1.80000000e+00,3.27631938e-01,3.09698131e-01,-5.22703838e-03,-3.27470429e-03,1.77758380e+00,-1.01361787e-02,2.95791108e-01,3.10802469e-01,2.24162043e-02,-1.07576598e-02,3.35057518e-01,-5.90280468e-05,6.84118300e-05,-2.92855214e-05,-1.93037543e-05,3.65339849e-05,-2.86888823e-05,1.65887742e-04,-9.92588424e-06,-1.89784074e-05,2.37629343e-06,-1.15743535e-04,2.35001612e-06,-1.46669698e-05,2.37547421e-06,2.34999521e-06,-1.46765017e-05
5.12125725e-11,1.75634739e+00,0.00000000e+00,1.80000000e+00,4.36526084e-02,1.80000000e+00,4.36526084e-02,1.80000000e+00,-1.87407489e-02,0.00000000e+00,3.08194340e-01,0.00000000e+00,0.00000000e+00,1.75634739e+00,-6.10685261e-03,1.80000000e+00,-5.58483462e-03,1.80000000e+00,3.30780644e-01,3.12896888e-01,-1.05997937e-02,-5.57498314e-03,1.75634739e+00,-1.70350189e-02,2.99271368e-01,3.08195156e-01,4.36526084e-02,-1.94121560e-02,3.32781246e-01,-5.81769799e-05,7.22204220e-05,-2.94596911e-05,-2.38507171e-05,3.69964811e-05,-2.77178053e-05,1.69697507e-04,-1.19203816e-05,-2.27798453e-05,2.33516997e-06,-1.13922904e-04,2.29727729e-06,-1.59692313e-05,2.32946160e-06,2.29732004e-06,-1.59742434e-05
5.23923727e-11,1.71387458e+00,0.00000000e+00,1.80000000e+00,8.61254167e-02,1.80000000e+00,8.61254167e-02,1.80000000e+00,-3.01597458e-02,0.00000000e+00,3.02617074e-01,0.00000000e+00,0.00000000e+00,1.71387458e+00,-1.37134786e-02,1.80000000e+00,-8.13562552e-03,1.80000000e+00,3.37045572e-01,3.18961170e-01,-2.09476576e-02,-8.14754865e-03,1.71387458e+00,-2.57286402e-02,3.06082696e-01,3.02617842e-01,8.61254167e-02,-3.26906811e-02,3.28379158e-01,-5.72263465e-05,7.64910670e-05,-2.94290424e-05,-2.99095606e-05,3.76597620e-05,-2.64676140e-05,1.73194173e-04,-1.38691573e-05,-2.73567085e-05,2.26831322e-06,-1.12246359e-04,2.21863433e-06,-1.73095793e-05,2.25941822e-06,2.21868496e-06,-1.73026169e-05
5.47519731e-11,1.62892897e+00,0.00000000e+00,1.80000000e+00,1.71071033e-01,1.80000000e+00,1.71071033e-01,1.80000000e+00,-4.38584993e-02,0.00000000e+00,2.89926848e-01,0.00000000e+00,0.00000000e+00,1.62892897e+00,-3.02091667e-02,1.80000000e+00,-9.84300066e-03,1.80000000e+00,3.47957278e-01,3.29659571e-01,-3.64885518e-02,-9.89011601e-03,1.62892897e+00,-3.66389796e-02,3.19242549e-01,2.89927693e-01,1.71071033e-01,-5.12492905e-02,3.18710234e-01,-5.60693356e-05,7.98151632e-05,-2.90893793e-05,-3.61204564e-05,3.81945260e-05,-2.30169194e-05,1.75389676e-04,-1.40943703e-05,-3.22603784e-05,2.06683723e-06,-1.11046485e-04,1.95121509e-06,-1.79738814e-05,2.04985133e-06,1.95136036e-06,-1.79483201e-05
